Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Honda,Model B,2005,2.7,198431,Diesel,Manual,19556.665924828874
Honda,Model E,2007,1.2,101044,Petrol,Automatic,18675.995344280946
Toyota,Model E,2010,4.1,100092,Electric,Manual,27345.602768574947
Toyota,Model C,2007,4.1,116640,Electric,Manual,25231.78731955397
Ford,Model A,2011,2.1,146713,Petrol,Manual,24001.380595892355
Toyota,Model D,2009,4.2,76432,Petrol,Manual,27259.216721713143
BMW,Model A,2003,3.7,189367,Petrol,Manual,20315.378753269182
Honda,Model E,2015,2.4,78451,Diesel,Manual,27922.61276836547
Toyota,Model C,2019,2.2,85340,Petrol,Manual,30552.958534942325
Toyota,Model B,2005,4.4,19411,Diesel,Manual,30845.830926289233
Ford,Model A,2008,3.5,134173,Diesel,Manual,21980.10477341919
Ford,Model E,2004,2.3,28536,Petrol,Manual,24711.34037420292
BMW,Model D,2020,3.2,3588,Petrol,Manual,33839.640688801985
Honda,Model C,2005,3.0,145781,Diesel,Automatic,20164.609426170045
Ford,Model B,2016,2.8,87657,Electric,Manual,31713.317848943
Toyota,Model A,2016,3.3,132489,Electric,Manual,26128.25749713337
Honda,Model D,2021,2.9,20293,Petrol,Automatic,33063.32469359213
Honda,Model B,2012,3.3,53897,Electric,Manual,28535.594779779236
Toyota,Model E,2016,4.2,44649,Diesel,Manual,34518.15397900455
Ford,Model E,2013,4.5,35540,Electric,Manual,34058.585913223076
Toyota,Model D,2001,3.5,62251,Diesel,Automatic,24107.895478577124
Honda,Model E,2018,4.2,119863,Petrol,Automatic,28812.900445936302
Audi,Model C,2002,4.0,186499,Petrol,Automatic,18178.2742497661
Audi,Model D,2001,2.0,191244,Electric,Manual,16753.00913155634
BMW,Model E,2001,4.3,35017,Petrol,Automatic,23314.715472898144
Toyota,Model A,2021,1.2,114383,Petrol,Manual,26698.11541324706
Toyota,Model E,2006,2.2,20242,Diesel,Automatic,24949.653046626274
BMW,Model C,2003,3.2,194501,Diesel,Manual,18111.591890798343
BMW,Model B,2016,2.8,116313,Diesel,Automatic,27054.64256866329
BMW,Model B,2005,2.9,199357,Diesel,Automatic,14329.67148153487
Honda,Model E,2006,3.8,97544,Petrol,Manual,25899.80470055666
Toyota,Model B,2019,1.7,100151,Diesel,Manual,24941.281626156164
Honda,Model E,2005,4.4,112457,Diesel,Manual,22314.579018855547
BMW,Model C,2008,2.5,8770,Diesel,Manual,27662.896292966525
Toyota,Model B,2019,4.3,132208,Electric,Manual,29667.398425823147
Honda,Model A,2003,2.3,11602,Diesel,Automatic,22923.48739589334
Honda,Model E,2004,3.1,101437,Petrol,Manual,21350.909295842917
BMW,Model B,2018,2.6,10466,Petrol,Manual,31210.118485182255
Toyota,Model C,2009,3.4,141485,Diesel,Manual,26319.263287181417
BMW,Model C,2017,1.6,177147,Electric,Automatic,22470.256188780375
Toyota,Model A,2014,2.4,132229,Electric,Manual,23871.81072157835
Audi,Model C,2000,1.2,138524,Electric,Automatic,15991.319717152079
Ford,Model C,2004,3.1,26225,Electric,Manual,25511.199497016052
Ford,Model B,2004,4.4,40043,Diesel,Manual,27278.389831655168
Ford,Model E,2007,1.2,145550,Diesel,Manual,19489.09802404444
BMW,Model D,2021,3.3,87333,Petrol,Automatic,30345.281413771518
Audi,Model C,2021,3.7,168212,Petrol,Manual,26444.093149156437
Toyota,Model C,2021,1.7,136683,Electric,Manual,27377.705119207563
Honda,Model D,2019,2.0,161238,Electric,Automatic,24765.725257982576
Toyota,Model C,2014,1.7,149779,Petrol,Manual,22220.056759134884
Honda,Model B,2016,2.0,131305,Petrol,Automatic,23733.808493645825
Toyota,Model B,2018,1.4,189681,Electric,Manual,22507.3820070754
Audi,Model D,2012,2.3,171756,Petrol,Manual,18271.724643343132
Honda,Model C,2021,2.3,65567,Electric,Automatic,26947.489200287237
BMW,Model C,2020,3.8,159086,Diesel,Manual,27851.55961387168
Toyota,Model E,2009,3.8,91483,Electric,Manual,27784.915837870474
Toyota,Model C,2016,3.8,8951,Diesel,Manual,36641.64634989351
Honda,Model B,2004,3.0,199811,Diesel,Automatic,18105.374797953446
BMW,Model A,2017,2.1,67330,Diesel,Manual,26488.32915874415
BMW,Model A,2016,2.4,62831,Petrol,Manual,26829.232399624754
Audi,Model A,2003,2.1,197369,Petrol,Automatic,17252.49249931162
BMW,Model A,2021,3.0,28936,Electric,Manual,35864.12199326096
BMW,Model C,2006,4.3,194774,Diesel,Manual,21960.7399871769
BMW,Model C,2004,2.0,15574,Electric,Manual,26062.43366413462
Ford,Model E,2007,2.6,98585,Diesel,Automatic,23108.236894486534
Audi,Model C,2007,3.3,135143,Diesel,Manual,21926.489726269487
Toyota,Model A,2010,4.0,152081,Electric,Manual,24075.934196359583
Honda,Model D,2008,1.9,159703,Electric,Automatic,20089.621673415095
Toyota,Model D,2018,2.0,22362,Electric,Automatic,31356.16550887473
Audi,Model B,2018,4.1,161772,Electric,Automatic,24180.472496111128
Honda,Model B,2008,1.3,47105,Petrol,Manual,25009.897321120847
Audi,Model C,2019,3.1,162304,Diesel,Automatic,27756.526114440312
BMW,Model D,2016,4.0,41775,Diesel,Manual,33563.01001100709
Honda,Model A,2015,4.2,184783,Petrol,Manual,28479.222700822225
BMW,Model A,2006,1.0,17854,Diesel,Automatic,21492.164169639826
Toyota,Model A,2021,2.3,128362,Petrol,Manual,25549.65528482708
Toyota,Model C,2002,1.9,68823,Diesel,Automatic,21360.750493581956
Honda,Model C,2020,3.0,46782,Petrol,Automatic,31147.340369006568
Honda,Model E,2018,3.2,22090,Petrol,Automatic,36628.51877339648
Audi,Model A,2007,4.5,27161,Diesel,Automatic,28755.54357808636
Audi,Model A,2004,2.8,147966,Diesel,Manual,17764.532115278176
BMW,Model C,2005,2.9,106265,Diesel,Manual,21181.07438874269
Honda,Model C,2001,2.5,46300,Electric,Manual,21590.52797745537
Toyota,Model E,2018,1.5,90666,Diesel,Automatic,25729.438437642475
Audi,Model E,2012,2.1,44665,Diesel,Automatic,26440.497849001735
Audi,Model B,2005,1.9,170624,Diesel,Manual,16044.192917657743
Toyota,Model D,2005,3.8,196360,Electric,Automatic,16170.380623870697
Audi,Model A,2001,2.9,189722,Diesel,Manual,16823.178405454728
BMW,Model A,2004,2.0,93254,Petrol,Automatic,19465.827251426766
Honda,Model E,2010,2.7,54645,Petrol,Automatic,26361.74018324848
Toyota,Model E,2010,1.8,114946,Electric,Manual,19424.51290667281
Honda,Model B,2013,1.6,170428,Electric,Manual,17129.6008376267
Audi,Model D,2012,4.0,42184,Electric,Manual,30702.75029275445
Audi,Model B,2007,4.3,50817,Electric,Automatic,31668.63587730449
Toyota,Model D,2014,1.3,34633,Electric,Manual,29909.5832948126
BMW,Model A,2011,3.7,48720,Diesel,Manual,27646.729908677342
Ford,Model B,2002,2.6,66301,Petrol,Automatic,20404.872230986926
Toyota,Model E,2020,2.4,155712,Petrol,Automatic,26354.767734025576
Ford,Model B,2004,3.4,51857,Diesel,Automatic,19875.0615596039
Ford,Model B,2005,1.9,5765,Electric,Automatic,23839.585778865257
BMW,Model A,2001,1.1,80872,Diesel,Automatic,18101.614454414183
Ford,Model E,2007,1.7,30761,Electric,Manual,23902.2788856175
Ford,Model E,2004,1.6,37742,Petrol,Automatic,18514.333904170184
BMW,Model C,2021,1.1,132455,Petrol,Manual,21419.79480210611
Ford,Model C,2016,2.1,194307,Electric,Automatic,18622.422378541632
Ford,Model C,2001,2.7,15458,Diesel,Automatic,23972.155067661504
Ford,Model A,2010,3.6,133507,Electric,Automatic,22852.77615859586
Toyota,Model B,2003,2.1,159808,Electric,Automatic,19823.93890526586
Toyota,Model E,2010,1.7,29992,Petrol,Manual,23227.412971911974
Toyota,Model E,2008,1.8,57566,Electric,Manual,26177.64188611073
BMW,Model B,2005,4.1,171764,Diesel,Manual,18705.789610280564
Audi,Model E,2001,1.7,114358,Electric,Automatic,22213.956579228834
Ford,Model B,2014,4.1,154514,Petrol,Manual,27798.705490808185
Ford,Model A,2004,2.6,23700,Diesel,Manual,20580.81923987454
BMW,Model A,2011,4.3,103932,Diesel,Manual,30337.267277201652
Ford,Model A,2012,2.4,27763,Petrol,Manual,27487.66293034199
Toyota,Model B,2016,1.6,178628,Petrol,Manual,23124.42745264179
Audi,Model B,2003,2.9,198975,Electric,Automatic,16329.32592558009
Honda,Model D,2009,3.1,135937,Petrol,Automatic,22192.926352404273
Ford,Model E,2000,3.2,172914,Petrol,Automatic,16246.738505512294
Toyota,Model E,2010,2.4,170999,Petrol,Automatic,17907.356286316488
Honda,Model D,2015,1.2,49602,Petrol,Manual,25538.39076322605
Audi,Model D,2010,3.2,121727,Diesel,Manual,21729.07948031491
Honda,Model A,2008,4.3,162148,Diesel,Manual,22548.475602994564
Toyota,Model D,2001,4.4,19734,Diesel,Manual,27703.425798951597
Honda,Model B,2006,3.1,2829,Petrol,Automatic,30174.030103759615
BMW,Model C,2018,1.1,1915,Electric,Manual,33077.35404266698
Honda,Model B,2017,1.4,39980,Electric,Manual,28276.091265927233
Ford,Model D,2019,3.9,9440,Electric,Manual,33576.161849436176
Ford,Model E,2006,3.9,135891,Electric,Manual,22902.03967280861
BMW,Model B,2008,4.3,73415,Diesel,Automatic,27605.608853831338
Toyota,Model E,2011,3.0,90352,Electric,Manual,28617.842894219233
Ford,Model B,2002,4.0,32225,Diesel,Automatic,28139.633334566475
Audi,Model E,2021,3.9,141406,Electric,Automatic,30694.99271354817
Ford,Model B,2015,3.1,106860,Electric,Manual,30398.40788137879
Ford,Model E,2006,3.7,95367,Diesel,Automatic,23619.302483933934
Toyota,Model C,2004,1.4,69656,Diesel,Automatic,21570.95859946778
Honda,Model A,2006,3.2,104780,Electric,Manual,22151.225876474105
Ford,Model B,2018,4.3,2961,Petrol,Manual,35508.85981341355
BMW,Model C,2016,1.6,78385,Electric,Automatic,22144.415195809714
Honda,Model A,2015,3.6,32545,Electric,Manual,32274.55022451178
Audi,Model B,2020,2.1,51569,Electric,Manual,30879.88366580229
Toyota,Model C,2020,3.9,132688,Diesel,Automatic,29891.610012083802
Audi,Model C,2018,3.4,123915,Electric,Automatic,29512.37462289789
Honda,Model C,2017,4.2,74447,Petrol,Automatic,34176.718907302675
Honda,Model D,2018,3.5,184906,Electric,Manual,25719.556640781917
Honda,Model E,2003,2.4,25549,Petrol,Automatic,25229.432559818255
Audi,Model A,2000,1.0,72361,Petrol,Manual,18129.23762114063
Honda,Model E,2003,3.8,18230,Petrol,Automatic,29341.258189946864
Audi,Model E,2003,2.4,50618,Electric,Automatic,23835.39612250645
Honda,Model E,2008,3.3,114676,Diesel,Automatic,27511.312065742673
BMW,Model C,2007,1.4,8882,Diesel,Automatic,25385.81899869851
Honda,Model E,2001,4.1,81844,Electric,Manual,21733.144744543217
Audi,Model D,2005,2.5,117200,Electric,Automatic,23163.58733062868
Ford,Model B,2010,4.2,175880,Petrol,Manual,24888.876713740498
Honda,Model C,2003,3.5,115933,Electric,Manual,22653.94230627848
Ford,Model A,2013,1.4,22500,Diesel,Manual,24089.188167139087
BMW,Model B,2020,3.0,81410,Electric,Automatic,33907.14681310502
Toyota,Model B,2021,4.2,140405,Electric,Manual,32882.89648658098
BMW,Model B,2008,3.8,53383,Electric,Manual,28558.92132978566
Honda,Model E,2001,2.5,66513,Petrol,Automatic,15480.51129822106
Ford,Model E,2000,4.3,157882,Electric,Automatic,19029.377094131713
Ford,Model C,2003,1.9,156189,Electric,Automatic,20315.808452196732
Audi,Model E,2011,2.3,72258,Electric,Automatic,26441.122933142287
Ford,Model E,2004,3.6,13217,Diesel,Manual,25119.181481422263
Audi,Model E,2008,1.8,172842,Petrol,Automatic,16843.370883436946
Toyota,Model C,2021,2.8,86427,Petrol,Automatic,29981.5618925483
Honda,Model C,2003,3.6,45272,Diesel,Automatic,27694.847332368045
Audi,Model D,2015,3.3,83053,Petrol,Automatic,25929.423434380813
Toyota,Model D,2001,1.5,61724,Diesel,Automatic,21528.00634278322
Ford,Model D,2015,3.2,146290,Petrol,Manual,27164.89343969097
Ford,Model D,2015,3.0,37633,Petrol,Manual,35102.88489963631
Toyota,Model B,2020,3.0,41528,Petrol,Automatic,33989.40168483695
Ford,Model B,2021,3.9,183224,Electric,Automatic,25660.28115556368
Toyota,Model D,2010,1.6,9513,Petrol,Manual,26628.276446031035
Audi,Model D,2000,3.6,171506,Electric,Automatic,15641.795387675886
Audi,Model A,2014,3.7,174776,Electric,Manual,25439.009309131652
Toyota,Model B,2003,3.5,72901,Electric,Manual,27340.75744743403
